Protein,PName,PepCount,BL_BLUS_pval,BL_OGD_pval,OGD_OGDUS_pval,BL_OGD_FC,BL_BLUS_FC,OGD_OGDUS_FC,BL_Avg,BL_avg2,BL+US,OGD_avg,OGD_avg2,OGD+US
1433B_MOUSE,"14-3-3 protein beta/alpha; AltName: Full=Protein kinase C inhibitor protein 1; Short=KCIP-1; Contains: 14-3-3 protein beta/alpha, N-terminally processed; Accession=Q9CQV8; O70455; Q3TY33; Q3UAN6; [Mus musculus (Mouse)]",21,0.57,0.69,0.90,-0.05,0.08,0.02,29.28,29.28,29.20,29.34,29.34,29.32
1433E_MOUSE,14-3-3 protein epsilon; Short=14-3-3E; Accession=P62259; P29360; P42655; Q63631; [Mus musculus (Mouse)],6,0.63,0.90,0.95,-0.06,0.22,0.03,24.60,24.60,24.38,24.65,24.65,24.63
1433F_MOUSE,14-3-3 protein eta; Accession=P68510; P11576; P70198; Q3TGZ9; [Mus musculus (Mouse)],10,0.80,0.82,0.69,0.04,0.03,-0.08,28.01,28.01,27.98,27.97,27.97,28.05
1433G_MOUSE,"14-3-3 protein gamma; Contains: 14-3-3 protein gamma, N-terminally processed; Accession=P61982; O70457; P35214; Q3UFD6; Q4FK44; Q9UDP2; Q9UN99; [Mus musculus (Mouse)]",13,0.98,0.47,0.58,0.10,0.00,-0.06,27.44,27.44,27.44,27.34,27.34,27.40
1433T_MOUSE,14-3-3 protein theta; AltName: Full=14-3-3 protein tau; Accession=P68254; P35216; Q3TW69; Q3UJN5; Q5SP76; Q5U423; Q66JR6; [Mus musculus (Mouse)],19,0.81,0.29,0.94,0.15,0.03,0.01,28.13,28.13,28.09,27.97,27.97,27.97
1433Z_MOUSE,14-3-3 protein zeta/delta; AltName: Full=Protein kinase C inhibitor protein 1; Short=KCIP-1; AltName: Full=SEZ-2; Accession=P63101; P35215; P70197; P97286; Q3TSF1; Q5EBQ1; [Mus musculus (Mouse)],21,0.96,0.41,0.22,-0.06,0.00,0.10,29.31,29.31,29.31,29.37,29.37,29.28
2A5A_MOUSE,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform; AltName: Full=PP2A B subunit isoform B'-alpha; AltName: Full=PP2A B subunit isoform B56-alpha; AltName: Full=PP2A B subunit isoform PR61-alpha; Short=PR61alpha; AltName: Full,1,0.36,0.77,0.90,0.14,-0.46,-0.08,23.17,23.17,23.62,23.02,23.02,23.10
2A5G_MOUSE,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform; AltName: Full=PP2A B subunit isoform B'-alpha-3; AltName: Full=PP2A B subunit isoform B'-gamma; AltName: Full=PP2A B subunit isoform B56-gamma; AltName: Full=PP2A B subunit i,3,0.38,0.46,0.43,0.21,-0.21,-0.45,24.11,24.11,24.32,23.90,23.90,24.34
2AAA_MOUSE,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform; AltName: Full=PP2A subunit A isoform PR65-alpha; AltName: Full=PP2A subunit A isoform R1-alpha; Accession=Q76MZ3; [Mus musculus (Mouse)],19,0.83,0.80,0.45,0.02,-0.02,-0.08,28.66,28.66,28.68,28.64,28.64,28.71
2AAB_MOUSE,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform; AltName: Full=PP2A subunit A isoform PR65-beta; AltName: Full=PP2A subunit A isoform R1-beta; Accession=Q7TNP2; E9QNJ1; [Mus musculus (Mouse)],5,0.14,0.23,0.90,0.22,0.26,0.02,26.65,26.65,26.40,26.44,26.44,26.42
